"V1","V2"
3.6617596,4.1275953
3.4786897,3.8683006
3.7332539,4.2157221
3.7936372,4.2417299
3.6161032,4.1045978
3.8144566,4.2665211
3.8255439,4.2105991
3.7547298,4.201705
3.8116802,4.1940447
3.8860394,4.2182941
3.8520683,4.1883604
3.8474439,4.2263606
3.6326269,4.1094383
3.8779867,4.2084238
3.8076465,4.2095701
3.8145987,4.2059518
3.8195483,4.2251721
3.6548721,4.0792459
3.3837298,3.9284434
3.8307508,4.2079698
3.8355473,4.232459
3.8678652,4.2076287
3.5954909,4.0098811
3.8237195,4.1904232
3.6427369,4.1224793
3.7922181,4.1876904
3.6420925,4.0773645
3.4918397,3.9693231
3.8319298,4.2388829
3.8068703,4.2065992
3.6074252,4.0748695
3.8247094,4.2094079
3.6737274,4.1971676
3.4777014,4.0092466
3.8090105,4.1844398
3.5807738,3.9636202
3.6634906,4.1222087
3.7672827,4.2566482
3.7499434,4.2536358
3.8010418,4.2650299
3.4583153,3.8513053
3.8540858,4.2188345
3.8365686,4.2023431
3.683169,4.1604436
3.7844509,4.2704223
3.7629111,4.2412997
3.7711322,4.2312746
3.5403946,4.1172956
3.742683,4.1928118
3.5599168,4.0628995
3.668399,4.0936502
3.8406236,4.216306
3.6142455,4.0454173
3.6391504,4.1593195
3.8311272,4.2632353
3.6805559,4.0006146
3.6411967,4.130581
3.7875347,4.2621905
3.8765688,4.2036555
3.6634485,4.1611614
3.8210196,4.229569
3.7795264,4.1558839
3.5776676,4.0298033
3.693747,4.1403958
3.6653516,4.1206276
3.7121518,4.0759099
3.7844664,4.2200296
3.5391284,4.0188104
3.6791919,4.1343476
3.6781172,4.1411026
3.8651255,4.2020155
3.7835421,4.2644426
3.5984302,4.0351987
3.7838446,4.2576279
3.8011791,4.2283497
3.7075603,4.0253451
3.6455191,4.01805
3.7931167,4.2265524
3.7218797,4.2068828
3.5474166,4.0629598
3.8944446,4.2320919
3.858502,4.2328568
3.7605048,4.1923295
3.7297622,4.1141704
3.5989584,4.0823875
3.4668823,3.970446
3.6285922,4.0694956
3.7988122,4.194765
3.6427362,4.0094805
3.6259006,4.068566
3.8188705,4.2498828
3.7461322,4.2777955
3.709538,4.2071397
3.8371583,4.2136002
3.7897071,4.2197296
3.5826892,4.0855138
3.5760025,4.0478137
3.7407667,4.2288681
3.8356293,4.2248579
3.7730802,3.9341815
3.8180798,4.2278537
3.8406408,4.2582344
3.7998957,4.2567978
3.5201049,4.0513713
3.5113424,4.1382645
3.7927842,4.2078853
3.8658962,4.1883151
3.7802103,4.2171011
3.7786038,4.2903073
3.6622772,4.1112082
3.4669831,4.0218152
3.4449535,3.8483308
3.7926689,4.1976085
3.5929,4.0790137
3.5945644,4.1403427
3.693375,4.1320181
3.5506431,3.9642353
3.7094634,4.2119128
3.7660288,4.2476751
3.4639835,3.889218
3.7898395,4.2001147
3.7833109,4.2520583
3.8243809,4.2406852
3.8801014,4.2193686
3.8200811,4.2365121
3.6838123,4.0773972
3.7761396,4.2473985
3.7927428,4.1976655
3.8245053,4.2599056
3.8215229,4.2592017
3.6730345,4.1508853
3.8155536,4.2114524
3.6474925,4.0070402
3.4062869,3.9384287
3.8164625,4.264729
3.5574957,3.9925845
3.8234773,4.2275545
3.6433888,4.1099035
3.8400892,4.2447599
3.6237889,4.0656919
3.7932565,4.2001982
3.7654732,4.2162966
3.650218,4.035934
3.6115338,4.02707
3.7810047,4.2489682
3.6645225,4.1501692
3.6169183,4.1267096
3.8409819,4.2100444
3.7834023,4.2198319
3.527813,4.0061739
3.5131056,3.9808795
3.3680273,3.8313047
3.7985567,4.1939366
3.8586736,4.1862526
3.8231807,4.2042954
3.7978164,4.2232236
3.7895529,4.1939936
3.6583578,4.1084758
3.77745,4.2220819
3.8438305,4.1891052
3.7436651,4.138538
3.4611984,4.0121241
3.7275603,4.176582
3.7401032,4.2448428
3.5852872,4.0872332
3.5503466,3.9941958
3.8460341,4.1947237
3.8007735,4.2474807
3.7856546,4.227985
3.8172137,4.2123649
3.6728435,4.0655404
3.7067507,4.1776749
3.690466,4.0935847
3.6068573,4.1158911
3.603221,4.1773361
3.5443295,3.8393756
3.8596372,4.2050571
3.8065085,4.2400753
3.8338831,4.2320691
3.5175747,3.8983416
3.6298431,4.0183057
3.6151631,4.1375562
